Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
Vladimir Malakhov,33,2002,02/24/2002,0,0,1,1
Danny Markov,25,2002,02/24/2002,0,0,1,1
Kim Martin,15,2002,02/24/2002,0,0,1,1
Sue Merz,29,2002,02/24/2002,0,1,0,1
Aaron Miller,30,2002,02/24/2002,0,1,0,1
Boris Mironov,29,2002,02/24/2002,0,0,1,1
A. J. Mleczko,26,2002,02/24/2002,0,1,0,1
Mike Modano,31,2002,02/24/2002,0,1,0,1
Tara Mounsey,23,2002,02/24/2002,0,1,0,1
Scott Niedermayer,28,2002,02/24/2002,1,0,0,1
Joe Nieuwendyk,35,2002,02/24/2002,1,0,0,1
Andrey Nikolishin,28,2002,02/24/2002,0,0,1,1
Owen Nolan,29,2002,02/24/2002,1,0,0,1
Caroline Ouellette,22,2002,02/24/2002,1,0,0,1
Mike Peca,27,2002,02/24/2002,1,0,0,1
Josefin Pettersson,18,2002,02/24/2002,0,0,1,1
Cherie Piper,20,2002,02/24/2002,1,0,0,1
Tom Poti,24,2002,02/24/2002,0,1,0,1
Cheryl Pounder,25,2002,02/24/2002,1,0,0,1
Chris Pronger,27,2002,02/24/2002,1,0,0,1
Brian Rafalski,28,2002,02/24/2002,0,1,0,1
Mike Richter,35,2002,02/24/2002,0,1,0,1
Jeremy Roenick,32,2002,02/24/2002,0,1,0,1
Brian Rolston,28,2002,02/24/2002,0,1,0,1
Maria Rooth,22,2002,02/24/2002,0,0,1,1
Angela Ruggiero,22,2002,02/24/2002,0,1,0,1
Danijela Rundqvist,17,2002,02/24/2002,0,0,1,1
Joe Sakic,32,2002,02/24/2002,1,0,0,1
Sergey Samsonov,23,2002,02/24/2002,0,0,1,1
Evelina Samuelsson,17,2002,02/24/2002,0,0,1,1
Jenny Schmidgall-Potter,23,2002,02/24/2002,0,1,0,1
Brendan Shanahan,33,2002,02/24/2002,1,0,0,1
Tammy Lee Shewchuk,24,2002,02/24/2002,1,0,0,1
Therese Sjölander,20,2002,02/24/2002,0,0,1,1
Sami Jo Small,25,2002,02/24/2002,1,0,0,1
Ryan Smyth,25,2002,02/24/2002,1,0,0,1
Colleen Sostorics,22,2002,02/24/2002,1,0,0,1
Kim St-Pierre,23,2002,02/24/2002,1,0,0,1
Vicky Sunohara,31,2002,02/24/2002,1,0,0,1
Gary Suter,37,2002,02/24/2002,0,1,0,1
Keith Tkachuk,29,2002,02/24/2002,0,1,0,1
Sarah Tueting,25,2002,02/24/2002,0,1,0,1
Oleg Tverdovsky,25,2002,02/24/2002,0,0,1,1
Anna Vikman,21,2002,02/24/2002,0,0,1,1
Lyndsay Wall,16,2002,02/24/2002,0,1,0,1
Doug Weight,31,2002,02/24/2002,0,1,0,1
Krissy Wendell,20,2002,02/24/2002,0,1,0,1
Hayley Wickenheiser,23,2002,02/24/2002,1,0,0,1
Aleksey Yashin,28,2002,02/24/2002,0,0,1,1
Mike York,24,2002,02/24/2002,0,1,0,1
Scott Young,34,2002,02/24/2002,0,1,0,1
Steve Yzerman,36,2002,02/24/2002,1,0,0,1
Aleksey Zhamnov,31,2002,02/24/2002,0,0,1,1
,,2012,08/12/2012,0,1,0,1
,,2012,08/12/2012,0,1,0,1
Marilyn Agliotti,33,2012,08/12/2012,1,0,0,1
Lucha Aymar,34,2012,08/12/2012,0,1,0,1
Sander Baart,24,2012,08/12/2012,0,1,0,1
Billy Bakker,23,2012,08/12/2012,0,1,0,1
Marcel Balkestein,31,2012,08/12/2012,0,1,0,1
Ashleigh Ball,26,2012,08/12/2012,0,0,1,1
Noel Barrionuevo,28,2012,08/12/2012,0,1,0,1
Laura Bartlett,24,2012,08/12/2012,0,0,1,1
Nathan Burgers,33,2012,08/12/2012,0,0,1,1
Matthew Butturini,24,2012,08/12/2012,0,0,1,1
Joel Carroll,25,2012,08/12/2012,0,0,1,1
Martina Cavallero,22,2012,08/12/2012,0,1,0,1
Chris Ciriello,26,2012,08/12/2012,0,0,1,1
Crista Cullen,26,2012,08/12/2012,0,0,1,1
Silvina D'Elia,26,2012,08/12/2012,0,1,0,1
Alex Danson,27,2012,08/12/2012,0,0,1,1
Merel de Blaey,25,2012,08/12/2012,1,0,0,1
Eva de Goede,23,2012,08/12/2012,1,0,0,1
Teun de Nooijer,36,2012,08/12/2012,0,1,0,1
Bob de Voogd,23,2012,08/12/2012,0,1,0,1
Sander de Wijn,22,2012,08/12/2012,0,1,0,1
Liam De Young,30,2012,08/12/2012,0,0,1,1
Timothy Deavin,28,2012,08/12/2012,0,0,1,1
Oskar Deecke,26,2012,08/12/2012,1,0,0,1
Carlien Dirkse van den Heuvel,25,2012,08/12/2012,1,0,0,1
Jamie Dwyer,33,2012,08/12/2012,0,0,1,1
Floris Evers,29,2012,08/12/2012,0,1,0,1
Russell Ford,28,2012,08/12/2012,0,0,1,1
Florian Fuchs,20,2012,08/12/2012,1,0,0,1
Moritz Fürste,27,2012,08/12/2012,1,0,0,1
Maartje Goderie,28,2012,08/12/2012,1,0,0,1
Matt Gohdes,22,2012,08/12/2012,0,0,1,1
Kieran Govers,24,2012,08/12/2012,0,0,1,1
Florencia Habif,18,2012,08/12/2012,0,1,0,1
Martin Häner,23,2012,08/12/2012,1,0,0,1
Tobias Hauke,24,2012,08/12/2012,1,0,0,1
Rogier Hofman,25,2012,08/12/2012,0,1,0,1
Ellen Hoog,26,2012,08/12/2012,1,0,0,1
Tim Jenniskens,25,2012,08/12/2012,0,1,0,1
Wouter Jolie,27,2012,08/12/2012,0,1,0,1
Kelly Jonker,22,2012,08/12/2012,1,0,0,1
Fergus Kavanagh,27,2012,08/12/2012,0,0,1,1
Robbert Kemperman,22,2012,08/12/2012,0,1,0,1
Mark Knowles,27,2012,08/12/2012,0,0,1,1
Oliver Korn,28,2012,08/12/2012,1,0,0,1
Kim Lammers,31,2012,08/12/2012,1,0,0,1
Rosario Luchetti,28,2012,08/12/2012,0,1,0,1
Sofia Maccari,28,2012,08/12/2012,0,1,0,1
Hannah Macleod,28,2012,08/12/2012,0,0,1,1
Emily Maguire,24,2012,08/12/2012,0,0,1,1
Delfina Merino,22,2012,08/12/2012,0,1,0,1
Max Müller,25,2012,08/12/2012,1,0,0,1
María Mutio,27,2012,08/12/2012,0,1,0,1
Eddie Ockenden,25,2012,08/12/2012,0,0,1,1
Simon Orchard,26,2012,08/12/2012,0,0,1,1
Ann Panter,28,2012,08/12/2012,0,0,1,1
Maartje Paumen,26,2012,08/12/2012,1,0,0,1
Sophie Polkamp,27,2012,08/12/2012,1,0,0,1
Jan Philipp Rabente,25,2012,08/12/2012,1,0,0,1
Carla Rebecchi,27,2012,08/12/2012,0,1,0,1
Helen Richardson,30,2012,08/12/2012,0,0,1,1
Ana Rodríguez,31,2012,08/12/2012,0,1,0,1
Chloe Rogers,27,2012,08/12/2012,0,0,1,1
Rocio Sánchez,23,2012,08/12/2012,0,1,0,1
Maru Scarone,25,2012,08/12/2012,0,1,0,1
Joyce Sombroek,21,2012,08/12/2012,1,0,0,1
Dani Sruoga,24,2012,08/12/2012,0,1,0,1
Jose Sruoga,21,2012,08/12/2012,0,1,0,1
Jaap Stockmann,28,2012,08/12/2012,0,1,0,1
Beth Storry,34,2012,08/12/2012,0,0,1,1
Thilo Stralkowski,25,2012,08/12/2012,1,0,0,1
Matthew Swann,23,2012,08/12/2012,0,0,1,1
Sarah Thomas,31,2012,08/12/2012,0,0,1,1
Glenn Turner,28,2012,08/12/2012,0,0,1,1
Georgie Twigg,21,2012,08/12/2012,0,0,1,1
Laura Unsworth,24,2012,08/12/2012,0,0,1,1
Naomi van As,29,2012,08/12/2012,1,0,0,1
Robert van der Horst,27,2012,08/12/2012,0,1,0,1
Mink van der Weerden,23,2012,08/12/2012,0,1,0,1
Margot van Geffen,22,2012,08/12/2012,1,0,0,1
Caia van Maasakker,23,2012,08/12/2012,1,0,0,1
Kitty van Male,24,2012,08/12/2012,1,0,0,1
Valentin Verga,22,2012,08/12/2012,0,1,0,1
Klaas Vermeulen,24,2012,08/12/2012,0,1,0,1
Kate Walsh,32,2012,08/12/2012,0,0,1,1
Sally Walton,31,2012,08/12/2012,0,0,1,1
Max Weinhold,30,2012,08/12/2012,1,0,0,1
Lidewij Welten,22,2012,08/12/2012,1,0,0,1
Christopher Wesley,25,2012,08/12/2012,1,0,0,1
Roderick Weusthof,30,2012,08/12/2012,0,1,0,1
Benjamin Weß,27,2012,08/12/2012,1,0,0,1
Timo Weß,30,2012,08/12/2012,1,0,0,1
Nicola White,24,2012,08/12/2012,0,0,1,1
Matthias Witthaus,30,2012,08/12/2012,1,0,0,1
Christopher Zeller,27,2012,08/12/2012,1,0,0,1
Philipp Zeller,29,2012,08/12/2012,1,0,0,1
Des Abbott,21,2008,08/24/2008,0,0,1,1
Marilyn Agliotti,29,2008,08/24/2008,1,0,0,1
Magdalena Aicega,34,2008,08/24/2008,0,0,1,1
David Alegre,23,2008,08/24/2008,0,1,0,1
Ramón Alegre,27,2008,08/24/2008,0,1,0,1
Pol Amat,30,2008,08/24/2008,0,1,0,1
Eduard Arbós,25,2008,08/24/2008,0,1,0,1
Lucha Aymar,31,2008,08/24/2008,0,0,1,1
Noel Barrionuevo,24,2008,08/24/2008,0,0,1,1
Sebastian Biederlack,26,2008,08/24/2008,1,0,0,1
Minke Booij,31,2008,08/24/2008,1,0,0,1
Travis Brooks,28,2008,08/24/2008,0,0,1,1
Kiel Brown,24,2008,08/24/2008,0,0,1,1
Claudia Burkart,28,2008,08/24/2008,0,0,1,1
Chen Qiuqi,28,2008,08/24/2008,0,1,0,1
Chen Zhaoxia,33,2008,08/24/2008,0,1,0,1
Cheng Hui,35,2008,08/24/2008,0,1,0,1
Quico Cortés,25,2008,08/24/2008,0,1,0,1
Eva de Goede,19,2008,08/24/2008,1,0,0,1
Lisanne de Roever,29,2008,08/24/2008,1,0,0,1
Liam De Young,26,2008,08/24/2008,0,0,1,1
Wieke Dijkstra,24,2008,08/24/2008,1,0,0,1
Luke Doerner,28,2008,08/24/2008,0,0,1,1
Jamie Dwyer,29,2008,08/24/2008,0,0,1,1
Sergi Enrique,20,2008,08/24/2008,0,1,0,1
Alex Fábregas,27,2008,08/24/2008,0,1,0,1
Kiko Fábregas,30,2008,08/24/2008,0,1,0,1
Juan Fernández,23,2008,08/24/2008,0,1,0,1
Santi Freixa,25,2008,08/24/2008,0,1,0,1
Fu Baorong,30,2008,08/24/2008,0,1,0,1
Moritz Fürste,23,2008,08/24/2008,1,0,0,1
Gao Lihua,28,2008,08/24/2008,0,1,0,1
Sole García,27,2008,08/24/2008,0,0,1,1
Rodrigo Garza,28,2008,08/24/2008,0,1,0,1
Bevan George,31,2008,08/24/2008,0,0,1,1
Maartje Goderie,24,2008,08/24/2008,1,0,0,1
Mariana González,32,2008,08/24/2008,0,0,1,1
David Guest,26,2008,08/24/2008,0,0,1,1
Alejandra Gulla,31,2008,08/24/2008,0,0,1,1
Rob Hammond,27,2008,08/24/2008,0,0,1,1
Tobias Hauke,20,2008,08/24/2008,1,0,0,1
Maripi Hernández,31,2008,08/24/2008,0,0,1,1
Ellen Hoog,22,2008,08/24/2008,1,0,0,1
Huang Junxia,32,2008,08/24/2008,0,1,0,1
Gisi Kañevsky,23,2008,08/24/2008,0,0,1,1
Fergus Kavanagh,23,2008,08/24/2008,0,0,1,1
Florian Keller,26,2008,08/24/2008,1,0,0,1
Mark Knowles,23,2008,08/24/2008,0,0,1,1
Oliver Korn,24,2008,08/24/2008,1,0,0,1
Stephen Lambert,28,2008,08/24/2008,0,0,1,1
Li Hongxia,21,2008,08/24/2008,0,1,0,1
Li Shuang,30,2008,08/24/2008,0,1,0,1
Rosario Luchetti,24,2008,08/24/2008,0,0,1,1
Ma Yibo,28,2008,08/24/2008,0,1,0,1
Mechi Margalot,33,2008,08/24/2008,0,0,1,1
Eli Matheson,25,2008,08/24/2008,0,0,1,1
Niklas Meinert,27,2008,08/24/2008,1,0,0,1
Jan-Marco Montag,24,2008,08/24/2008,1,0,0,1
Fátima Moreira de Melo,30,2008,08/24/2008,1,0,0,1
Eefke Mulder,30,2008,08/24/2008,1,0,0,1
Max Müller,21,2008,08/24/2008,1,0,0,1
Carlos Nevado,25,2008,08/24/2008,1,0,0,1
Eddie Ockenden,21,2008,08/24/2008,0,0,1,1
Roc Oliva,19,2008,08/24/2008,0,1,0,1
Pan Fengzhen,23,2008,08/24/2008,0,1,0,1
Maartje Paumen,22,2008,08/24/2008,1,0,0,1
Sophie Polkamp,24,2008,08/24/2008,1,0,0,1
Carla Rebecchi,23,2008,08/24/2008,0,0,1,1
Ren Ye,22,2008,08/24/2008,0,1,0,1
Xavier Ribas,32,2008,08/24/2008,0,1,0,1
Mariana Rossi,29,2008,08/24/2008,0,0,1,1
Mariné Russo,28,2008,08/24/2008,0,0,1,1
Albert Sala,27,2008,08/24/2008,0,1,0,1
Janneke Schopman,31,2008,08/24/2008,1,0,0,1
Grant Schubert,28,2008,08/24/2008,0,0,1,1
Minke Smabers,29,2008,08/24/2008,1,0,0,1
Andrew Smith,29,2008,08/24/2008,0,0,1,1
Víctor Sojo,24,2008,08/24/2008,0,1,0,1
Song Qingling,22,2008,08/24/2008,0,1,0,1
Belén Succi,22,2008,08/24/2008,0,0,1,1
Tang Chunling,32,2008,08/24/2008,0,1,0,1
Eddie Tubau,27,2008,08/24/2008,0,1,0,1
Naomi van As,25,2008,08/24/2008,1,0,0,1
Miek van Geenhuizen,26,2008,08/24/2008,1,0,0,1
Paola Vukojicic,33,2008,08/24/2008,0,0,1,1
Max Weinhold,26,2008,08/24/2008,1,0,0,1
Tibor Weißenborn,27,2008,08/24/2008,1,0,0,1
Matt Wells,30,2008,08/24/2008,0,0,1,1
Lidewij Welten,18,2008,08/24/2008,1,0,0,1
Benjamin Weß,23,2008,08/24/2008,1,0,0,1
Timo Weß,26,2008,08/24/2008,1,0,0,1
Philip Witte,24,2008,08/24/2008,1,0,0,1
Matthias Witthaus,26,2008,08/24/2008,1,0,0,1
Christopher Zeller,23,2008,08/24/2008,1,0,0,1
Philipp Zeller,25,2008,08/24/2008,1,0,0,1
Zhang Yimeng,24,2008,08/24/2008,0,1,0,1
Zhao Yudiao,19,2008,08/24/2008,0,1,0,1
Zhou Wanfeng,28,2008,08/24/2008,0,1,0,1
Magdalena Aicega,30,2004,08/29/2004,0,0,1,1
Mariela Antoniska,29,2004,08/29/2004,0,0,1,1
Clemens Arnold,25,2004,08/29/2004,0,0,1,1
Inés Arrondo,26,2004,08/29/2004,0,0,1,1
Lucha Aymar,27,2004,08/29/2004,0,0,1,1
Tina Bachmann,26,2004,08/29/2004,1,0,0,1
Christoph Bechmann,32,2004,08/29/2004,0,0,1,1
Sebastian Biederlack,22,2004,08/29/2004,0,0,1,1
Minke Booij,27,2004,08/29/2004,0,1,0,1
Ageeth Boomgaardt,31,2004,08/29/2004,0,1,0,1
Michael Brennan,28,2004,08/29/2004,1,0,0,1
Travis Brooks,24,2004,08/29/2004,1,0,0,1
Matthijs Brouwer,24,2004,08/29/2004,0,1,0,1
Ronald Brouwer,25,2004,08/29/2004,0,1,0,1
Claudia Burkart,24,2004,08/29/2004,0,0,1,1
Dean Butler,27,2004,08/29/2004,1,0,0,1
Caroline Casaretto,26,2004,08/29/2004,1,0,0,1
Philipp Crone,27,2004,08/29/2004,0,0,1,1
Chantal de Bruijn,28,2004,08/29/2004,0,1,0,1
Teun de Nooijer,28,2004,08/29/2004,0,1,0,1
Lisanne de Roever,25,2004,08/29/2004,0,1,0,1
Liam De Young,22,2004,08/29/2004,1,0,0,1
Jeroen Delmeé,31,2004,08/29/2004,0,1,0,1
Geert-Jan Derikx,23,2004,08/29/2004,0,1,0,1
Rob Derikx,21,2004,08/29/2004,0,1,0,1
Marina Di Giacomo,28,2004,08/29/2004,0,0,1,1
Mijntje Donners,30,2004,08/29/2004,0,1,0,1
Eike Duckwitz,24,2004,08/29/2004,0,0,1,1
Jamie Dwyer,25,2004,08/29/2004,1,0,0,1
Nathan Eglington,23,2004,08/29/2004,1,0,0,1
Marten Eikelboom,30,2004,08/29/2004,0,1,0,1
Christoph Eimer,27,2004,08/29/2004,0,0,1,1
Troy Elder,26,2004,08/29/2004,1,0,0,1
Björn Emmerling,28,2004,08/29/2004,0,0,1,1
Nadine Ernsting-Krienke,30,2004,08/29/2004,1,0,0,1
Floris Evers,21,2004,08/29/2004,0,1,0,1
Sole García,23,2004,08/29/2004,0,0,1,1
Bevan George,27,2004,08/29/2004,1,0,0,1
Mariana González,28,2004,08/29/2004,0,0,1,1
Franziska Gude,28,2004,08/29/2004,1,0,0,1
Alejandra Gulla,27,2004,08/29/2004,0,0,1,1
Mandy Haase,22,2004,08/29/2004,1,0,0,1
Rob Hammond,23,2004,08/29/2004,1,0,0,1
Maripi Hernández,27,2004,08/29/2004,0,0,1,1
Mark Hickman,30,2004,08/29/2004,1,0,0,1
Erik Jazet,33,2004,08/29/2004,0,1,0,1
Sylvia Karres,27,2004,08/29/2004,0,1,0,1
Natascha Keller,27,2004,08/29/2004,1,0,0,1
Karel Klaver,25,2004,08/29/2004,0,1,0,1
Denise Klecker,32,2004,08/29/2004,1,0,0,1
Mark Knowles,19,2004,08/29/2004,1,0,0,1
Anke Kühn,23,2004,08/29/2004,1,0,0,1
Florian Kunz,32,2004,08/29/2004,0,0,1,1
Badri Latif,27,2004,08/29/2004,1,0,0,1
Heike Lätzsch,30,2004,08/29/2004,1,0,0,1
Sonja Lehmann,24,2004,08/29/2004,1,0,0,1
Brent Livermore,28,2004,08/29/2004,1,0,0,1
Jesse Mahieu,26,2004,08/29/2004,0,1,0,1
Mechi Margalot,29,2004,08/29/2004,0,0,1,1
Michael McCann,26,2004,08/29/2004,1,0,0,1
Björn Michel,29,2004,08/29/2004,0,0,1,1
Fátima Moreira de Melo,26,2004,08/29/2004,0,1,0,1
Stephen Mowlam,27,2004,08/29/2004,1,0,0,1
Eefke Mulder,26,2004,08/29/2004,0,1,0,1
Silke Müller,25,2004,08/29/2004,1,0,0,1
Vanina Oneto,31,2004,08/29/2004,0,0,1,1
Rob Reckers,22,2004,08/29/2004,0,1,0,1
Sascha Reinelt,31,2004,08/29/2004,0,0,1,1
Fanny Rinne,24,2004,08/29/2004,1,0,0,1
Marion Rodewald,27,2004,08/29/2004,1,0,0,1
Ceci Rognoni,27,2004,08/29/2004,0,0,1,1
Mariné Russo,24,2004,08/29/2004,0,0,1,1
Justus Scharowsky,24,2004,08/29/2004,0,0,1,1
Maartje Scheepstra,24,2004,08/29/2004,0,1,0,1
Janneke Schopman,27,2004,08/29/2004,0,1,0,1
Grant Schubert,24,2004,08/29/2004,1,0,0,1
Christian Schulte,28,2004,08/29/2004,0,0,1,1
Clarinda Sinnige,31,2004,08/29/2004,0,1,0,1
Minke Smabers,25,2004,08/29/2004,0,1,0,1
Jiske Snoeks,26,2004,08/29/2004,0,1,0,1
Ayelén Stepnik,28,2004,08/29/2004,0,0,1,1
Taeke Taekema,24,2004,08/29/2004,0,1,0,1
Macha van der Vaart,32,2004,08/29/2004,0,1,0,1
Sander van der Weide,28,2004,08/29/2004,0,1,0,1
Miek van Geenhuizen,22,2004,08/29/2004,0,1,0,1
Lieve van Kessel,26,2004,08/29/2004,0,1,0,1
Klaas Veering,22,2004,08/29/2004,0,1,0,1
Guus Vogels,29,2004,08/29/2004,0,1,0,1
Paola Vukojicic,29,2004,08/29/2004,0,0,1,1
Louisa Walter,25,2004,08/29/2004,1,0,0,1
Tibor Weißenborn,23,2004,08/29/2004,0,0,1,1
Matt Wells,26,2004,08/29/2004,1,0,0,1
Timo Weß,22,2004,08/29/2004,0,0,1,1
Matthias Witthaus,22,2004,08/29/2004,0,0,1,1
Christopher Zeller,19,2004,08/29/2004,0,0,1,1
Julia Zwehl,28,2004,08/29/2004,1,0,0,1
Magdalena Aicega,26,2000,10/01/2000,0,1,0,1
Katie Allen,26,2000,10/01/2000,1,0,0,1
Alyson Annan,27,2000,10/01/2000,1,0,0,1
Mariela Antoniska,25,2000,10/01/2000,0,1,0,1
Inés Arrondo,22,2000,10/01/2000,0,1,0,1
Lucha Aymar,23,2000,10/01/2000,0,1,0,1
Minke Booij,23,2000,10/01/2000,0,0,1,1
Ageeth Boomgaardt,27,2000,10/01/2000,0,0,1,1
Michael Brennan,24,2000,10/01/2000,0,0,1,1
Jacques Brinkman,34,2000,10/01/2000,1,0,0,1
Jaap-Derk Buma,28,2000,10/01/2000,1,0,0,1
Adam Commens,24,2000,10/01/2000,0,0,1,1
Stephen Davies,31,2000,10/01/2000,0,0,1,1
Teun de Nooijer,24,2000,10/01/2000,1,0,0,1
Julie Deiters,25,2000,10/01/2000,0,0,1,1
Jeroen Delmeé,27,2000,10/01/2000,1,0,0,1
Damon Diletti,29,2000,10/01/2000,0,0,1,1
Mijntje Donners,26,2000,10/01/2000,0,0,1,1
Lachlan Dreher,33,2000,10/01/2000,0,0,1,1
Jason Duff,27,2000,10/01/2000,0,0,1,1
Marten Eikelboom,26,2000,10/01/2000,1,0,0,1
Troy Elder,22,2000,10/01/2000,0,0,1,1
Jimmy Elmer,29,2000,10/01/2000,0,0,1,1
Renita Farrell-Garard,28,2000,10/01/2000,1,0,0,1
María Paz Ferrari,27,2000,10/01/2000,0,1,0,1
Anabel Gambero,28,2000,10/01/2000,0,1,0,1
Gang Geon-Uk,29,2000,10/01/2000,0,1,0,1
Sole García,19,2000,10/01/2000,0,1,0,1
Paul Gaudoin,25,2000,10/01/2000,0,0,1,1
Piet-Hein Geeris,28,2000,10/01/2000,1,0,0,1
Han Hyeong-Bae,24,2000,10/01/2000,0,1,0,1
Juliet Haslam,31,2000,10/01/2000,1,0,0,1
Rechelle Hawkes,33,2000,10/01/2000,1,0,0,1
Maripi Hernández,23,2000,10/01/2000,0,1,0,1
Stephen Holt,26,2000,10/01/2000,0,0,1,1
Nikki Hudson,24,2000,10/01/2000,1,0,0,1
Hwang Jong-Hyeon,25,2000,10/01/2000,0,1,0,1
Im Jeong-U,22,2000,10/01/2000,0,1,0,1
Im Jong-Cheon,22,2000,10/01/2000,0,1,0,1
Rachel Imison,21,2000,10/01/2000,1,0,0,1
Ronald Jansen,36,2000,10/01/2000,1,0,0,1
Erik Jazet,29,2000,10/01/2000,1,0,0,1
Jeon Jong-Gwon,21,2000,10/01/2000,0,1,0,1
Jeon Jong-Ha,27,2000,10/01/2000,0,1,0,1
Ji Seong-Hwan,26,2000,10/01/2000,0,1,0,1
Kim Cheong-Hwan,29,2000,10/01/2000,0,1,0,1
Kim Gyeong-Seok,28,2000,10/01/2000,0,1,0,1
Kim Jeong-Cheol,23,2000,10/01/2000,0,1,0,1
Kim Yong-Bae,26,2000,10/01/2000,0,1,0,1
Kim Yun,26,2000,10/01/2000,0,1,0,1
Brent Livermore,24,2000,10/01/2000,0,0,1,1
Bram Lomans,25,2000,10/01/2000,1,0,0,1
Clover Maitland,28,2000,10/01/2000,1,0,0,1
Laura Maiztegui,21,2000,10/01/2000,0,1,0,1
Mechi Margalot,25,2000,10/01/2000,0,1,0,1
Karina Masotta,29,2000,10/01/2000,0,1,0,1
Claire Mitchell-Taverner,30,2000,10/01/2000,1,0,0,1
Fátima Moreira de Melo,22,2000,10/01/2000,0,0,1,1
Jenny Morris,27,2000,10/01/2000,1,0,0,1
Vanina Oneto,27,2000,10/01/2000,0,1,0,1
Alison Peek,30,2000,10/01/2000,1,0,0,1
Triny Powell,28,2000,10/01/2000,1,0,0,1
Lisa Powell-Carruthers,30,2000,10/01/2000,1,0,0,1
Jorgelina Rimoldi,28,2000,10/01/2000,0,1,0,1
Ceci Rognoni,23,2000,10/01/2000,0,1,0,1
Seo Jong-Ho,20,2000,10/01/2000,0,1,0,1
Clarinda Sinnige,27,2000,10/01/2000,0,0,1,1
Angie Skirving-Lambert,19,2000,10/01/2000,1,0,0,1
Hanneke Smabers,26,2000,10/01/2000,0,0,1,1
Minke Smabers,21,2000,10/01/2000,0,0,1,1
Song Seong-Tae,28,2000,10/01/2000,0,1,0,1
Daniel Sproule,26,2000,10/01/2000,0,0,1,1
Jay Stacy,32,2000,10/01/2000,0,0,1,1
Kate Starre,28,2000,10/01/2000,1,0,0,1
Ayelén Stepnik,24,2000,10/01/2000,0,1,0,1
Margje Teeuwen,26,2000,10/01/2000,0,0,1,1
Carole Thate,28,2000,10/01/2000,0,0,1,1
Daphne Touw,30,2000,10/01/2000,0,0,1,1
Julie Towers,23,2000,10/01/2000,1,0,0,1
Fleur van de Kieft,26,2000,10/01/2000,0,0,1,1
Dillianne van den Boogaard,26,2000,10/01/2000,0,0,1,1
Macha van der Vaart,28,2000,10/01/2000,0,0,1,1
Sander van der Weide,24,2000,10/01/2000,1,0,0,1
Suzan van der Wielen,28,2000,10/01/2000,0,0,1,1
Wouter van Pelt,32,2000,10/01/2000,1,0,0,1
Diederik van Weel,26,2000,10/01/2000,1,0,0,1
Remco van Wijk,27,2000,10/01/2000,1,0,0,1
Stephan Veen,30,2000,10/01/2000,1,0,0,1
Myrna Veenstra,25,2000,10/01/2000,0,0,1,1
Craig Victory,20,2000,10/01/2000,0,0,1,1
Guus Vogels,25,2000,10/01/2000,1,0,0,1
Paola Vukojicic,26,2000,10/01/2000,0,1,0,1
Matt Wells,22,2000,10/01/2000,0,0,1,1
Peter Wind,27,2000,10/01/2000,1,0,0,1
Yeo Wun-Gon,26,2000,10/01/2000,0,1,0,1
Michael York,32,2000,10/01/2000,0,0,1,1
Luc Abalo,27,2012,08/12/2012,1,0,0,1
William Accambray,24,2012,08/12/2012,1,0,0,1
Macarena Aguilar,27,2012,08/12/2012,0,0,1,1
Nely Alberto,29,2012,08/12/2012,0,0,1,1
Mirko Alilovic,26,2012,08/12/2012,0,0,1,1
Jessica Alonso,28,2012,08/12/2012,0,0,1,1
Ida Alstad,27,2012,08/12/2012,1,0,0,1
Vanessa Amorós,29,2012,08/12/2012,0,0,1,1
Kim Andersson,29,2012,08/12/2012,0,1,0,1
Mattias Andersson,34,2012,08/12/2012,0,1,0,1
Ivano Balic,33,2012,08/12/2012,0,0,1,1
Xavier Barachet,23,2012,08/12/2012,1,0,0,1
Sonja Barjaktarovic,25,2012,08/12/2012,0,1,0,1
Andrea Barno,32,2012,08/12/2012,0,0,1,1
Damir Bicanic,27,2012,08/12/2012,0,0,1,1
Karoline Dyhre Breivang,32,2012,08/12/2012,1,0,0,1
Andela Bulatovic,25,2012,08/12/2012,0,1,0,1
Katarina Bulatovic,27,2012,08/12/2012,0,1,0,1
Denis Buntic,29,2012,08/12/2012,0,0,1,1
Mihaela Ciobanu,39,2012,08/12/2012,0,0,1,1
Verónica Cuadrado,33,2012,08/12/2012,0,0,1,1
Ivan Cupic,26,2012,08/12/2012,0,0,1,1
Didier Dinart,35,2012,08/12/2012,1,0,0,1
Dalibor Doder,33,2012,08/12/2012,0,1,0,1
Domagoj Duvnjak,24,2012,08/12/2012,0,0,1,1
Niclas Ekberg,23,2012,08/12/2012,0,1,0,1
Kim Ekdahl du Rietz,23,2012,08/12/2012,0,1,0,1
Patricia Elorza,28,2012,08/12/2012,0,0,1,1
Beatriz Fernández,27,2012,08/12/2012,0,0,1,1
Begoña Fernández,32,2012,08/12/2012,0,0,1,1
Jérôme Fernandez,35,2012,08/12/2012,1,0,0,1
Marit Malm Frafjord,26,2012,08/12/2012,1,0,0,1
Bertrand Gille,34,2012,08/12/2012,1,0,0,1
Guillaume Gille,36,2012,08/12/2012,1,0,0,1
Jakov Gojun,26,2012,08/12/2012,0,0,1,1
Kari Aalvik Grimsbø,27,2012,08/12/2012,1,0,0,1
Michaël Guigou,30,2012,08/12/2012,1,0,0,1
Mattias Gustafsson,34,2012,08/12/2012,0,1,0,1
